region,lat,lon,households
East,51.5666,0.5758,1550.073
East,51.5669,0.5614,2290.920
East,51.5672,0.5469,1344.138
East,51.5675,0.5325,317.327
East,51.5679,0.5181,1070.139
East,51.5682,0.5037,3085.760
East,51.5685,0.4893,2780.321
East,51.5688,0.4749,2792.636
East,51.5689,0.8646,1.353
East,51.5691,0.4604,3359.020
East,51.5693,0.8502,1.644
East,51.5694,0.4460,2610.074
East,51.5696,0.8357,0.292
East,51.5697,0.4316,2624.446
East,51.5699,0.8213,1.204
East,51.5700,0.4172,2078.273
East,51.5703,0.4028,995.615
East,51.5703,0.8069,1.054
East,51.5706,0.3884,37.585
East,51.5706,0.7925,22.803
East,51.5709,0.3739,2.078
East,51.5710,0.7781,11.577
East,51.5712,0.3595,14.545
East,51.5713,0.7637,2.406
East,51.5714,0.3451,470.096
East,51.5717,0.3307,32.951
East,51.5717,0.7493,0.399
East,51.5720,0.3163,13.055
East,51.5720,0.7349,2.929
East,51.5723,0.3019,9.671
East,51.5723,0.7204,149.888
East,51.5726,0.2874,2.688
East,51.5727,0.7060,440.640
East,51.5729,0.2730,22.966
East,51.5730,0.6916,175.762
East,51.5733,0.6772,377.713
East,51.5737,0.6628,512.489
East,51.5740,0.6484,1037.842
East,51.5743,0.6339,1145.577
East,51.5746,0.6195,589.194
East,51.5749,0.6051,748.295
East,51.5753,0.5907,576.359
East,51.5756,0.5763,196.141
East,51.5759,0.5619,1060.792
East,51.5762,0.5474,430.666
East,51.5765,0.5330,308.346
East,51.5768,0.5186,1448.050
East,51.5771,0.5042,1937.398
East,51.5772,0.8940,0.225
East,51.5775,0.4898,2591.119
East,51.5775,0.8796,0.451
East,51.5778,0.4754,2072.491
East,51.5779,0.8651,1.353
East,51.5781,0.4609,1211.518
East,51.5782,0.8507,1.804
East,51.5784,0.4465,1179.143
East,51.5786,0.8363,0.732
East,51.5787,0.4321,2140.476
East,51.5789,0.8219,0.976
East,51.5790,0.4177,2320.109
East,51.5793,0.4033,187.289
East,51.5793,0.8075,0.056
East,51.5796,0.3888,17.448
East,51.5796,0.7931,0.503
East,51.5798,0.3744,2.311
East,51.5800,0.7786,1.724
East,51.5801,0.3600,57.570
East,51.5803,0.7642,0.847
East,51.5804,0.3456,19.739
East,51.5806,0.7498,0.763
East,51.5807,0.3312,16.728
East,51.5810,0.3167,10.767
East,51.5810,0.7354,13.428
East,51.5813,0.3023,10.011
East,51.5813,0.7210,257.979
East,51.5816,0.2879,0.346
East,51.5816,0.7066,1513.408
East,51.5818,0.2735,0.384
East,51.5820,0.6921,513.366
East,51.5821,0.2590,0.795
East,51.5823,0.6777,42.775
East,51.5826,0.6633,10.442
East,51.5830,0.6489,9.021
East,51.5833,0.6345,466.991
East,51.5836,0.6200,2097.638
East,51.5839,0.6056,2697.045
East,51.5843,0.5912,242.444
East,51.5846,0.5768,81.243
East,51.5849,0.5624,41.689
East,51.5852,0.5479,23.800
East,51.5855,0.5335,73.528
East,51.5858,0.5191,416.906
East,51.5861,0.5047,742.450
East,51.5862,0.8945,1.804
East,51.5864,0.4903,636.696
East,51.5865,0.8801,1.804
East,51.5867,0.4758,72.856
East,51.5870,0.4614,140.492
East,51.5872,0.8513,2.480
East,51.5873,0.4470,749.253
East,51.5876,0.4326,859.786
East,51.5876,0.8369,1.353
East,51.5879,0.4182,466.296
East,51.5879,0.8224,1.420
East,51.5882,0.4037,8.383
East,51.5885,0.3893,4.683
East,51.5886,0.7936,0.444
East,51.5888,0.3749,6.122
East,51.5889,0.7792,0.348
East,51.5891,0.3605,47.712
East,51.5893,0.7648,2.288
East,51.5894,0.3460,3.409
East,51.5896,0.7504,24.048
East,51.5897,0.3316,12.701
East,51.5900,0.3172,7.839
East,51.5900,0.7359,21.236
East,51.5903,0.3028,5.309
East,51.5903,0.7215,55.480
East,51.5906,0.2883,9.513
East,51.5906,0.7071,1539.638
East,51.5908,0.2739,1.754
East,51.5910,0.6927,1087.719
East,51.5911,0.2595,1.321
East,51.5913,0.6783,371.033
East,51.5914,0.2451,4.122
East,51.5916,0.6638,562.168
East,51.5919,0.6494,17.369
East,51.5923,0.6350,77.655
East,51.5926,0.6206,1004.918
East,51.5929,0.6061,1982.495
East,51.5932,0.5917,1721.582
East,51.5936,0.5773,78.276
East,51.5939,0.5629,28.140
East,51.5940,-0.4768,5.454
East,51.5941,0.1008,8.755
East,51.5942,-0.4912,1.773
East,51.5942,0.5485,18.621
East,51.5943,0.0864,187.473
East,51.5944,-0.5056,1.307
East,51.5944,0.9239,0.225
East,51.5945,-0.5201,0.313
East,51.5945,0.5340,151.508
East,51.5946,0.0719,258.677
East,51.5948,0.0575,41.713
East,51.5948,0.5196,224.645
East,51.5948,0.9095,0.676
East,51.5951,0.0431,18.893
East,51.5951,0.5052,76.352
East,51.5951,0.8951,8.794
East,51.5954,0.4908,17.258
East,51.5955,0.8807,2.029
East,51.5957,0.4763,81.582
East,51.5960,0.4619,72.394
East,51.5962,0.8518,0.676
East,51.5963,0.4475,61.483
East,51.5965,0.8374,1.127
East,51.5966,0.4331,109.580
East,51.5969,0.4186,49.726
East,51.5969,0.8230,2.485
East,51.5972,0.4042,0.771
East,51.5972,0.8086,11.006
East,51.5975,0.3898,2.600
East,51.5976,0.7942,4.144
East,51.5978,0.3754,6.230
East,51.5979,0.7797,7.067
East,51.5981,0.3609,46.053
East,51.5983,0.7653,4.244
East,51.5984,0.3465,257.156
East,51.5986,0.7509,14.146
East,51.5987,0.3321,51.628
East,51.5989,0.7365,4.455
East,51.5990,0.3176,11.092
East,51.5993,0.3032,405.855
East,51.5993,0.7221,25.136
East,51.5995,0.2888,140.321
East,51.5996,0.7076,179.846
East,51.5998,0.2744,13.798
East,51.5999,0.6932,1593.886
East,51.6001,0.2599,20.162
East,51.6003,0.6788,475.905
East,51.6004,0.2455,81.933
East,51.6006,0.6644,1994.978
East,51.6009,0.6499,1289.120
East,51.6013,0.6355,263.440
East,51.6016,-0.3754,9.064
East,51.6016,0.6211,117.476
East,51.6018,-0.3899,53.951
East,51.6019,0.6067,781.724
East,51.6020,-0.4043,63.378
East,51.6022,-0.4187,23.487
East,51.6022,0.5922,766.486
East,51.6024,-0.4332,6.697
East,51.6025,0.1301,0.764
East,51.6025,0.5778,21.461
East,51.6026,-0.4476,8.103
East,51.6028,-0.4620,2.104
East,51.6028,0.1156,12.482
East,51.6029,0.5634,46.981
East,51.6030,-0.4765,33.727
East,51.6030,0.1012,357.860
East,51.6030,0.9389,1.353
East,51.6032,-0.4909,3.842
East,51.6032,0.5490,752.594
East,51.6033,-0.5054,0.287
East,51.6033,0.0868,907.397
East,51.6034,0.9245,12.402
East,51.6035,-0.5198,0.063
East,51.6035,0.5345,2227.947
East,51.6036,0.0723,298.835
East,51.6037,-0.5342,0.340
East,51.6038,0.0579,221.648
East,51.6038,0.5201,2182.188
East,51.6038,0.9101,1.353
East,51.6041,0.0435,156.768
East,51.6041,0.5057,321.414
East,51.6041,0.8957,8.343
East,51.6043,0.0291,45.689
East,51.6044,0.4912,42.160
East,51.6045,0.8813,0.902
East,51.6047,0.4768,83.515
East,51.6050,0.4624,6.801
East,51.6053,0.4480,47.086
East,51.6056,0.4335,422.454
East,51.6059,0.4191,60.241
East,51.6059,0.8236,0.602
East,51.6062,0.4047,25.028
East,51.6062,0.8091,0.301
East,51.6065,0.3903,4.070
East,51.6066,0.7947,0.150
East,51.6068,0.3758,5.872
East,51.6069,0.7803,7.420
East,51.6071,0.3614,1.011
East,51.6072,0.7659,19.088
East,51.6074,0.3470,183.539
East,51.6076,0.7514,3.671
East,51.6077,0.3325,252.000
East,51.6079,0.7370,27.028
East,51.6080,0.3181,303.046
East,51.6082,0.3037,1750.436
East,51.6083,0.7226,2.500
East,51.6085,0.2892,927.171
East,51.6086,0.7082,36.201
East,51.6088,0.2748,265.474
East,51.6089,0.6937,398.085
East,51.6091,0.2604,5.116
East,51.6093,0.6793,234.514
East,51.6094,0.2459,32.990
East,51.6096,0.6649,1171.300
East,51.6099,0.6505,113.121
East,51.6102,-0.3462,9.413
East,51.6102,0.6360,90.807
East,51.6104,-0.3607,92.276
East,51.6106,-0.3751,494.671
East,51.6106,0.6216,48.132
East,51.6108,-0.3896,96.240
East,51.6109,0.6072,138.074
East,51.6110,-0.4040,224.670
East,51.6112,-0.4184,464.128
East,51.6112,0.1449,7.563
East,51.6112,0.5927,18.415
East,51.6114,-0.4329,280.458
East,51.6115,0.1305,46.506
East,51.6115,0.5783,33.549
East,51.6116,-0.4473,22.823
East,51.6118,-0.4617,2.529
East,51.6118,0.1161,335.439
East,51.6118,0.5639,30.432
East,51.6120,-0.4762,4.285
East,51.6120,0.1016,728.602
East,51.6120,0.9395,3.157
East,51.6121,-0.4906,98.818
East,51.6122,0.5495,733.095
East,51.6123,-0.5051,25.704
East,51.6123,0.0872,538.310
East,51.6124,0.9251,2.255
East,51.6125,-0.5195,9.180
East,51.6125,0.0728,207.543
East,51.6125,0.5350,2563.101
East,51.6127,-0.5339,6.409
East,51.6127,0.9107,1.804
East,51.6128,0.0583,168.777
East,51.6128,0.5206,2584.591
East,51.6129,-0.5484,31.870
East,51.6131,0.0439,463.226
East,51.6131,0.5062,741.722
East,51.6131,0.8963,0.902
East,51.6133,0.0295,377.916
East,51.6134,0.4917,139.397
East,51.6135,0.8818,0.676
East,51.6136,0.0150,68.752
East,51.6137,0.4773,13.750
East,51.6140,0.4629,5.645
East,51.6142,0.8530,0.114
East,51.6143,0.4484,52.092
East,51.6145,0.8385,1.462
East,51.6146,0.4340,1127.082
East,51.6149,0.4196,758.541
East,51.6149,0.8241,0.567
East,51.6152,0.4052,227.172
East,51.6152,0.8097,6.583
East,51.6155,0.3907,3.110
East,51.6155,0.7953,1.512
East,51.6158,0.3763,2.364
East,51.6159,0.7808,2.660
East,51.6161,0.3619,2.182
East,51.6162,0.7664,20.529
East,51.6164,0.3474,202.741
East,51.6166,0.7520,202.458
East,51.6167,0.3330,1061.723
East,51.6169,0.3186,844.140
East,51.6169,0.7376,195.502
East,51.6172,0.3041,4255.665
East,51.6172,0.7231,43.834
East,51.6175,0.2897,1141.767
East,51.6176,0.7087,17.797
East,51.6178,0.2753,126.495
East,51.6179,0.6943,40.078
East,51.6181,0.2608,1.120
East,51.6182,0.6798,40.110
East,51.6183,0.2464,0.226
East,51.6186,0.2320,7.817
East,51.6186,0.6654,51.982
East,51.6188,-0.3170,85.966
East,51.6189,0.2175,57.634
East,51.6189,0.6510,112.127
East,51.6190,-0.3315,35.381
East,51.6192,-0.3459,16.696
East,51.6192,0.2031,11.933
East,51.6192,0.6365,37.850
East,51.6194,-0.3604,33.686
East,51.6194,0.1887,74.134
East,51.6195,0.6221,687.323
East,51.6196,-0.3748,300.393
East,51.6197,0.1742,3.182
East,51.6198,-0.3892,1835.116
East,51.6199,0.6077,603.584
East,51.6200,-0.4037,220.938
East,51.6200,0.1598,1.065
East,51.6202,-0.4181,384.417
East,51.6202,0.1453,1.352
East,51.6202,0.5933,39.518
East,51.6204,-0.4326,137.156
East,51.6205,0.1309,6.977
East,51.6205,0.5788,35.210
East,51.6206,-0.4470,38.654
East,51.6208,-0.4614,4.905
East,51.6208,0.1165,146.139
East,51.6208,0.5644,59.926
East,51.6210,-0.4759,4.866
East,51.6210,0.1020,66.297
East,51.6211,-0.4903,44.713
East,51.6211,0.5500,22.188
East,51.6213,-0.5048,272.047
East,51.6213,0.0876,74.647
East,51.6214,0.5355,493.460
East,51.6215,-0.5192,209.788
East,51.6215,0.0732,295.077
East,51.6217,-0.5336,17.997
East,51.6218,0.0587,68.831
East,51.6218,0.5211,1322.063
East,51.6219,-0.5481,26.437
East,51.6220,0.0443,1263.307
East,51.6221,0.5067,62.091
East,51.6223,0.0299,535.716
East,51.6224,0.4922,61.750
East,51.6225,0.0154,180.908
East,51.6227,0.4778,81.960
East,51.6230,0.4634,2.517
East,51.6233,0.4489,186.776
East,51.6236,0.4345,1457.518
East,51.6239,0.4201,2494.455
East,51.6242,0.4056,542.476
East,51.6245,0.3912,62.535
East,51.6245,0.7958,21.257
East,51.6248,0.3768,18.283
East,51.6249,0.7814,0.444
East,51.6251,0.3623,295.177
East,51.6252,0.7670,1.735
East,51.6254,0.3479,1218.503
East,51.6256,0.3335,1026.039
East,51.6256,0.7525,0.578
East,51.6259,0.3190,1062.407
East,51.6259,0.7381,4.049
East,51.6262,0.3046,1992.476
East,51.6262,0.7237,15.613
East,51.6265,0.2901,1167.510
East,51.6266,0.7092,0.398
East,51.6268,0.2757,13.376
East,51.6269,0.6948,6.295
East,51.6271,-0.2734,21.497
East,51.6271,0.2613,6.071
East,51.6272,0.6804,38.646
East,51.6273,0.2468,5.264
East,51.6274,-0.2878,11.622
East,51.6276,-0.3023,11.037
East,51.6276,0.2324,2.401
East,51.6276,0.6659,7.313
East,51.6278,-0.3167,164.470
East,51.6279,0.2180,24.814
East,51.6279,0.6515,0.962
East,51.6280,-0.3311,210.957
East,51.6282,-0.3456,127.710
East,51.6282,0.2035,21.783
East,51.6282,0.6371,68.081
East,51.6284,-0.3600,4.829
East,51.6284,0.1891,79.266
East,51.6285,0.6226,532.524
East,51.6286,-0.3745,1010.766
East,51.6287,0.1746,54.592
East,51.6288,-0.3889,2209.133
East,51.6288,0.6082,640.281
East,51.6290,-0.4034,993.381
East,51.6290,0.1602,6.602
East,51.6292,-0.4178,106.751
East,51.6292,0.1458,12.468
East,51.6292,0.5938,102.959
East,51.6294,-0.4322,85.826
East,51.6295,0.1313,16.887
East,51.6295,0.5793,70.493
East,51.6296,-0.4467,32.308
East,51.6297,0.1169,15.287
East,51.6298,-0.4611,106.659
East,51.6298,0.5649,37.948
East,51.6299,-0.4756,193.458
East,51.6300,0.1025,6.240
East,51.6301,-0.4900,564.745
East,51.6301,0.5505,90.901
East,51.6303,-0.5045,178.427
East,51.6303,0.0880,44.395
East,51.6304,0.5360,264.497
East,51.6305,-0.5189,7.535
East,51.6305,0.0736,19.297
East,51.6307,-0.5334,160.825
East,51.6307,0.5216,152.560
East,51.6307,0.9118,0.209
East,51.6308,0.0591,887.654
East,51.6309,-0.5478,2.577
East,51.6310,0.0447,905.495
East,51.6311,0.5072,18.746
East,51.6311,0.8974,0.507
East,51.6313,0.0303,364.776
East,51.6314,0.4927,35.829
East,51.6315,0.0158,215.087
East,51.6317,0.4783,294.981
East,51.6318,0.0014,42.855
East,51.6318,0.8685,0.151
East,51.6320,0.4639,66.033
East,51.6321,0.8541,0.246
East,51.6323,0.4494,82.139
East,51.6325,0.8397,18.326
East,51.6326,0.4350,429.362
East,51.6328,0.8252,852.699
East,51.6329,0.4205,2261.970
East,51.6332,0.4061,1404.332
East,51.6332,0.8108,1202.693
East,51.6335,0.3917,24.324
East,51.6335,0.7964,174.887
East,51.6338,0.3772,8.112
East,51.6339,0.7819,1.154
East,51.6340,0.3628,646.254
East,51.6342,0.7675,0.355
East,51.6343,0.3484,1951.119
East,51.6345,0.7531,0.243
East,51.6346,0.3339,862.063
East,51.6349,0.3195,82.776
East,51.6352,0.3050,94.731
East,51.6352,0.7242,0.344
East,51.6355,-0.2297,0.824
East,51.6355,0.2906,1307.604
East,51.6355,0.7098,0.030
East,51.6357,-0.2442,16.987
East,51.6358,0.2762,205.083
East,51.6359,-0.2586,7.620
East,51.6360,0.2617,15.875
East,51.6361,-0.2730,4.971
East,51.6362,0.6809,22.132
East,51.6363,-0.2875,13.590
East,51.6363,0.2473,13.880
East,51.6365,0.6665,0.714
East,51.6366,-0.3019,71.608
East,51.6366,0.2328,0.379
East,51.6368,-0.3164,27.367
East,51.6369,0.2184,6.819
East,51.6370,-0.3308,500.134
East,51.6371,0.2040,15.722
East,51.6372,-0.3453,1681.329
East,51.6372,0.6376,1.887
East,51.6374,-0.3597,874.671
East,51.6374,0.1895,20.529
East,51.6375,0.6232,1481.968
East,51.6376,-0.3742,449.671
East,51.6377,0.1751,21.100
East,51.6378,-0.3886,1110.565
East,51.6378,0.6087,1744.713
East,51.6379,0.1606,7.454
East,51.6380,-0.4030,786.355
East,51.6382,-0.4175,223.804
East,51.6382,0.1462,15.360
East,51.6382,0.5943,83.040
East,51.6384,-0.4319,376.333
East,51.6385,0.1318,50.858
East,51.6385,0.5798,39.385
East,51.6386,-0.4464,147.256
East,51.6387,-0.4608,1031.645
East,51.6387,0.1173,11.142
East,51.6388,0.5654,72.497
East,51.6389,-0.4753,1678.429
East,51.6390,0.1029,9.970
East,51.6391,-0.4897,1823.557
East,51.6391,0.5510,43.392
East,51.6392,0.0884,70.575
East,51.6393,-0.5042,511.273
East,51.6394,0.5365,38.647
East,51.6395,-0.5186,67.896
East,51.6395,0.0740,1157.606
East,51.6397,-0.5331,23.984
East,51.6397,0.5221,4.298
East,51.6397,0.9124,0.179
East,51.6398,-0.5475,12.606
East,51.6398,0.0595,1850.617
East,51.6400,0.0451,653.095
East,51.6400,0.5077,32.874
East,51.6400,0.8980,0.209
East,51.6403,0.0307,13.318
East,51.6403,0.4932,54.351
East,51.6404,0.8835,0.060
East,51.6405,0.0162,15.379
East,51.6406,0.4788,133.113
East,51.6407,0.8691,0.060
East,51.6408,0.0018,26.111
East,51.6410,-0.0127,47.659
East,51.6410,0.4643,47.543
East,51.6411,0.8547,0.030
East,51.6412,-0.0271,34.456
East,51.6413,0.4499,74.911
East,51.6415,0.8402,1.465
East,51.6416,0.4355,1072.304
East,51.6418,0.8258,134.951
East,51.6419,0.4210,1128.586
East,51.6421,0.8114,414.793
East,51.6422,0.4066,368.090
East,51.6424,0.3921,6.318
East,51.6425,0.7969,190.985
East,51.6427,0.3777,4.997
East,51.6428,0.7825,4.659
East,51.6430,0.3633,32.179
East,51.6432,0.7681,4.604
